id, mean_vs30_km_per_s, standard_deviation_vs30_km_per_s, description, comment
1, 519, 0.5, "Well dissected alpine summits, mountains, etc.",
2, 393, 0.5, "Large volcano, high block plateaus, etc.",
3, 547, 0.5, "Well dissected, low mountains, etc.",
4, 459, 0.5, "Volcanic fan, foot slope of high block plateaus, etc.",
5, 323.504047697085, 0.407430975749267, "Dissected plateaus, etc.",
6, 300.639538792274, 0.306594194335118, "Basalt lava plain, glaciated plateau, etc.",
7, 535.786417756242, 0.380788655293195, "Moderately eroded mountains, lava flow, etc.",
8, 514.970575501527, 0.380788655293195, "Desert alluvial slope, volcanic fan, etc.",
9, 284.470950299338, 0.360555127546399, "Well eroded plain of weak rocks, etc.",
10, 317.368444092771, 0.33166247903554, "Valley, till plain, etc.",
11, 266.870166096091, 0.4, "Eroded plain of weak rocks, etc.",
12, 297, 0.5, "Desert plain, delta plain, etc.",
13, 216.62368022053, 0.254950975679639, "Incised terrace, etc.", "Prior mean and standard deviation were estimated by Kevin Foster"
14, 241.80869962047, 0.307482445914323, "Eroded alluvial fan, till plain, etc.",
15, 198.64481157494, 0.205256370217328, "Dune, incised terrace, etc.",
16, 202.125866002814, 0.206820130727133, "Fluvial plain, alluvial fan, low-lying flat plains, etc.",
