easting,northing,vs30,uncertainty,source,station,q
1572074.579324775,5179261.068318557,153.29865,0.2000000029802322,mcgann,,
1570023.3189605856,5181176.261741738,178.22583,0.2000000029802322,mcgann,,
1569904.77068858,5179600.837189907,196.0,0.1,kaiseretal,CHHC,1.0
1571514.6624899183,5179368.483592648,177.0,0.2000000029802322,wotherspoon,,
1570998.935102765,5181326.732962422,178.19048,0.2000000029802322,mcgann,,
1571824.3908441144,5180400.616366018,202.78473,0.2000000029802322,mcgann,,
1572099.0047018237,5181344.757488279,184.15288,0.2000000029802322,mcgann,,
1570145.5542195346,5180168.653201323,169.15259,0.2000000029802322,mcgann,,
1571020.712108516,5180194.671315091,182.5936,0.2000000029802322,mcgann,,
1571622.9904250165,5180867.014684107,211.0,0.2000000029802322,wotherspoon,,
1568217.812414332,5184377.931040938,180.0,0.1,kaiseretal,PPHS,1.0
1567989.5429605483,5176277.068868089,155.14278,0.2000000029802322,mcgann,,
1577200.3583561452,5184128.807070609,211.6987,0.2000000029802322,wotherspoon,,
1566237.7704901667,5181166.648257459,205.02385,0.2000000029802322,mcgann,,
1566285.6582767165,5177209.143219218,185.90192,0.2000000029802322,mcgann,,
1576173.576947583,5184284.700333585,185.18176,0.2000000029802322,mcgann,,
1573029.0186631428,5177332.358389834,173.75996,0.2000000029802322,mcgann,,
1574117.9373705543,5182185.981922524,174.83815,0.2000000029802322,mcgann,,
1571963.4448321806,5177247.352824396,181.6769,0.2000000029802322,mcgann,,
1569572.579248472,5176184.171378869,222.0,0.2000000029802322,wotherspoon,,
1577006.9822656414,5185051.912363121,207.14272,0.2000000029802322,mcgann,,
1567969.7360993216,5177800.983370038,177.48816,0.2000000029802322,mcgann,,
1573159.991621694,5185410.206304402,203.47551,0.2000000029802322,mcgann,,
1567358.8799590133,5180163.061625388,183.57124,0.2000000029802322,mcgann,,
1571049.097688746,5183785.288185783,175.94011,0.2000000029802322,mcgann,,
1564886.7149976494,5182945.912819363,294.0,0.2000000029802322,wotherspoon,,
1575987.5840031437,5177262.988076574,198.32352,0.2000000029802322,mcgann,,
1570182.1472449764,5177233.290173235,192.90164,0.2000000029802322,mcgann,,
1574095.127774738,5185325.755604096,192.23134,0.2000000029802322,mcgann,,
1568587.9414011498,5179231.4594075605,173.18083,0.2000000029802322,mcgann,,
1576013.124556759,5185205.834580038,192.99062,0.2000000029802322,mcgann,,
1568315.847365339,5185778.468773409,174.33195,0.2000000029802322,mcgann,,
1565528.1555478235,5185394.056330898,199.78098,0.2000000029802322,mcgann,,
1567063.905431108,5182738.581094413,217.57079,0.2000000029802322,mcgann,,
1569283.7682558685,5180329.272693178,197.0,0.1,kaiseretal,CBGS,1.0
1569030.6015845055,5177130.783886404,170.28088,0.2000000029802322,mcgann,,
1567040.9680754803,5181096.698749149,209.74026,0.2000000029802322,mcgann,,
1574364.652786287,5180744.150470195,196.0,0.2000000029802322,wotherspoon,,
1572452.6532735734,5183028.172913013,174.0,0.2000000029802322,wotherspoon,,
1573958.335626678,5179190.655789797,191.93857,0.2000000029802322,mcgann,,
